Genome,Accession,RefSeq type,Source information,Number of segments,Genome length,Number of proteins,Genome Neighbors,Host,Date completed,Date updated,realm,Filename
Chickpea yellows virus,NC_038478,complete,isolate:CpYV_AU_3489B_2002,-,2557,4,-,land plants,08/24/2018,08/24/2018,Monodnaviria,Chickpea_yellows_virus
Chilli leaf curl Ahmedabad virus-India [India/Ahmedabad/2014],NC_028046,complete,-,-,2744,6,-,land plants,10/14/2015,08/13/2018,Monodnaviria,Chilli_leaf_curl_Ahmedabad_virus-India_IndiaAhmedabad2014
Chilli leaf curl Gonda virus,NC_055136,complete,isolate:India/Gonda/chilli/2013,-,2760,6,-,land plants,06/01/2021,06/07/2021,Monodnaviria,Chilli_leaf_curl_Gonda_virus
Chilli leaf curl India virus,NC_038875,complete,-,-,2755,6,7,land plants,03/01/2010,08/24/2018,Monodnaviria,Chilli_leaf_curl_India_virus
Chilli leaf curl Kanpur virus [India/Kanpur/2008],NC_038441,complete,isolate:India/Kanpur/Chilli/2008,-,2754,6,-,land plants,08/24/2018,08/24/2018,Monodnaviria,Chilli_leaf_curl_Kanpur_virus_IndiaKanpur2008
Chilli leaf curl Sri Lanka virus,NC_055131,complete,isolate:CL-14,-,2754,6,-,land plants,06/01/2021,06/07/2021,Monodnaviria,Chilli_leaf_curl_Sri_Lanka_virus
Chilli leaf curl Vellanad virus [India/Vellanad/2008],NC_038442,complete,isolate:India/Vellanad/Chilli/2008,-,2788,6,-,land plants,08/24/2018,08/24/2018,Monodnaviria,Chilli_leaf_curl_Vellanad_virus_IndiaVellanad2008
Chilli leaf curl virus,NC_004628,complete,isolate:Multan,-,2754,6,117,land plants,03/21/2003,08/13/2018,Monodnaviria,Chilli_leaf_curl_virus
Chilli leaf curl virus-[Bhavanisagar:India:2010],NC_055130,complete,-,-,2785,3,-,land plants,06/01/2021,06/07/2021,Monodnaviria,Chilli_leaf_curl_virus-BhavanisagarIndia2010
Chino del tomate Amazonas virus,NC_038443,complete,isolate:AM10,-,2615,4,1,land plants,08/24/2018,08/24/2018,Monodnaviria,Chino_del_tomate_Amazonas_virus
Chloris striate mosaic virus,NC_001466,complete,-,-,2750,5,12,land plants,08/02/1993,08/13/2018,Monodnaviria,Chloris_striate_mosaic_virus
Citrus chlorotic dwarf associated virus,NC_018151,complete,isolate:TK4,-,3640,5,50,land plants,07/17/2012,08/13/2018,Monodnaviria,Citrus_chlorotic_dwarf_associated_virus
Cleome golden mosaic virus,NC_015397,complete,isolate:BA 05,-,2566,3,-,land plants,04/25/2011,08/13/2018,Monodnaviria,Cleome_golden_mosaic_virus
Clerodendron yellow mosaic virus,NC_009451,complete,isolate:iari,-,2760,6,4,land plants,05/11/2007,08/13/2018,Monodnaviria,Clerodendron_yellow_mosaic_virus
Clerodendrum golden mosaic Jiangsu virus,NC_038876,complete,-,-,2753,6,-,land plants,06/05/2009,08/24/2018,Monodnaviria,Clerodendrum_golden_mosaic_Jiangsu_virus
Common bean-associated gemycircularvirus,NC_030887,complete,isolate:53_2,-,2220,3,2,land plants,09/12/2016,08/13/2018,Monodnaviria,Common_bean-associated_gemycircularvirus
Corchorus yellow vein mosaic virus,NC_020473,complete,isolate:CEA8,-,2743,7,2,land plants,03/08/2013,08/13/2018,Monodnaviria,Corchorus_yellow_vein_mosaic_virus
Cotton leaf curl Alabad virus,NC_004582,complete,strain:Pakistan; isolate:clc802a,-,2744,6,16,land plants,03/31/1998,08/13/2018,Monodnaviria,Cotton_leaf_curl_Alabad_virus
Cotton leaf curl Bangalore virus,NC_007290,complete,-,-,2751,6,3,land plants,08/05/2005,08/13/2018,Monodnaviria,Cotton_leaf_curl_Bangalore_virus
Cotton leaf curl Burewala virus,NC_012137,complete,isolate:India:Vehari:2004,-,2759,5,-,land plants,01/10/2009,08/13/2018,Monodnaviria,Cotton_leaf_curl_Burewala_virus
Cotton leaf curl Gezira virus,NC_002510,complete,-,-,2764,6,26,land plants,06/10/1999,08/13/2018,Monodnaviria,Cotton_leaf_curl_Gezira_virus
Cotton leaf curl Gezira virus-[Cotton],NC_038444,complete,isolate:CLCuV-SD,-,2761,5,2,land plants,08/24/2018,08/24/2018,Monodnaviria,Cotton_leaf_curl_Gezira_virus-Cotton
Cotton leaf curl Kokhran virus,NC_004583,complete,strain:Pakistan; isolate:clc806b,-,2748,6,49,land plants,03/31/1998,08/13/2018,Monodnaviria,Cotton_leaf_curl_Kokhran_virus
Gossypium darwinii symptomless virus,NC_011804,complete,isolate:Dar1,-,2740,6,105,land plants,01/05/2009,08/13/2018,Monodnaviria,Gossypium_darwinii_symptomless_virus
Cotton leaf curl Shahdadpur virus,NC_029648,complete,isolate:Sha,-,2748,6,1,land plants,01/07/2010,08/13/2018,Monodnaviria,Cotton_leaf_curl_Shahdadpur_virus
Cotton leaf curl virus,NC_031760,complete,isolate:Faz-14,-,2753,7,15,land plants,11/10/2016,08/13/2018,Monodnaviria,Cotton_leaf_curl_virus
Crassocephalum yellow vein virus - Jinghong,NC_008794,complete,isolate:Jinghong,-,2745,6,1,land plants,01/16/2007,08/13/2018,Monodnaviria,Crassocephalum_yellow_vein_virus_-_Jinghong
Croton yellow vein mosaic virus,NC_004300,complete,-,-,2757,7,22,land plants,09/18/2002,08/13/2018,Monodnaviria,Croton_yellow_vein_mosaic_virus
Croton yellow vein virus,NC_014473,complete,-,-,2744,6,1,land plants,08/26/2010,08/13/2018,Monodnaviria,Croton_yellow_vein_virus
Datura leaf curl virus,NC_043531,complete,isolate:Sudan-Datura 435-2016,-,2782,6,1,land plants,06/28/2019,06/28/2019,Monodnaviria,Datura_leaf_curl_virus
Digitaria ciliaris striate mosaic virus,NC_018579,complete,isolate:AU-QG5-2011,-,2816,4,2,land plants,09/10/2012,08/13/2018,Monodnaviria,Digitaria_ciliaris_striate_mosaic_virus
Digitaria didactyla striate mosaic virus,NC_014547,complete,strain:DDSMV-[AU:QL:99],-,2762,4,-,land plants,10/04/2010,08/13/2018,Monodnaviria,Digitaria_didactyla_striate_mosaic_virus
Duranta leaf curl virus,NC_038980,complete,isolate:57SA,-,2759,6,3,land plants,08/24/2018,08/24/2018,Monodnaviria,Duranta_leaf_curl_virus
East African cassava mosaic Malawi virus-Malawi[K],NC_038877,complete,isolate:MK,-,2804,3,-,land plants,11/16/1998,08/24/2018,Monodnaviria,East_African_cassava_mosaic_Malawi_virus-MalawiK
Eclipta yellow vein virus,NC_016660,complete,-,-,2740,6,2,land plants,07/09/2013,08/13/2018,Monodnaviria,Eclipta_yellow_vein_virus
Eleusine indica associated virus,NC_055572,complete,isolate:Reunion-Bassin plat-RE004-2014,-,2713,3,-,land plants,06/01/2021,06/08/2021,Monodnaviria,Eleusine_indica_associated_virus
Emilia sonchifolia yellow vein Thailand virus,NC_035473,complete,isolate:TH4872-6,-,2746,6,-,land plants,08/24/2017,08/13/2018,Monodnaviria,Emilia_sonchifolia_yellow_vein_Thailand_virus
Emilia yellow vein Fujian virus,NC_055511,complete,isolate:Zz01,-,2734,6,-,land plants,06/01/2021,06/07/2021,Monodnaviria,Emilia_yellow_vein_Fujian_virus
Emilia yellow vein virus-[Fz1],NC_010307,complete,isolate:Fz1,-,2725,6,2,land plants,02/05/2008,08/13/2018,Monodnaviria,Emilia_yellow_vein_virus-Fz1
Eragrostis curvula streak virus,NC_012664,complete,isolate:ECSV-ZA-Esc1-g382-2008,-,2754,3,4,land plants,05/08/2009,08/13/2018,Monodnaviria,Eragrostis_curvula_streak_virus
Eragrostis minor streak virus,NC_015553,complete,-,-,2689,4,2,land plants,05/20/2011,08/13/2018,Monodnaviria,Eragrostis_minor_streak_virus
Eragrostis streak virus,NC_010352,complete,isolate:ESV[ZmGur],-,2746,3,-,land plants,02/20/2008,08/13/2018,Monodnaviria,Eragrostis_streak_virus
Erectites yellow mosaic virus,NC_009549,complete,-,-,2751,6,-,land plants,06/08/2007,08/13/2018,Monodnaviria,Erectites_yellow_mosaic_virus
Eupatorium yellow vein mosaic virus,NC_003556,complete,-,-,2766,6,-,land plants,08/01/2000,08/13/2018,Monodnaviria,Eupatorium_yellow_vein_mosaic_virus
Eupatorium yellow vein virus-[SOJ3],NC_038879,complete,isolate:Fukuoka-SOJ3,-,2778,6,-,land plants,01/06/2003,08/24/2018,Monodnaviria,Eupatorium_yellow_vein_virus-SOJ3
Eupatorium yellow vein virus - [Yamaguchi],NC_043119,complete,-,-,2765,7,-,land plants,06/28/2019,06/28/2019,Monodnaviria,Eupatorium_yellow_vein_virus_-_Yamaguchi
Eupatorium yellow vein virus-[Japan:Kagawa:Tomato:1997],NC_043121,complete,-,-,2767,6,-,land plants,06/28/2019,06/28/2019,Monodnaviria,Eupatorium_yellow_vein_virus-JapanKagawaTomato1997
Eupatorium yellow vein virus-[MNS2],NC_043418,complete,isolate:Fukuoka-MNS2,-,2765,6,-,land plants,01/06/2003,06/28/2019,Monodnaviria,Eupatorium_yellow_vein_virus-MNS2
Eupatorium yellow vein virus-[Suya],NC_043120,complete,isolate:Suya-2003,-,2760,6,-,land plants,06/28/2019,06/28/2019,Monodnaviria,Eupatorium_yellow_vein_virus-Suya
Euphorbia caput-medusae latent virus,NC_030238,complete,isolate:DAR12_CM243,-,2683,7,12,land plants,05/31/2016,08/13/2018,Monodnaviria,Euphorbia_caput-medusae_latent_virus
Euphorbia heterophylla associated gemycircularvirus,NC_040339,complete,isolate:Br1,-,2125,2,-,land plants,02/12/2019,09/12/2019,Monodnaviria,Euphorbia_heterophylla_associated_gemycircularvirus
Euphorbia leaf curl Guangxi virus,NC_038881,complete,-,-,2747,6,-,land plants,01/08/2007,08/24/2018,Monodnaviria,Euphorbia_leaf_curl_Guangxi_virus
Euphorbia leaf curl virus,NC_005319,complete,isolate:G35,-,2746,6,6,land plants,01/05/2004,08/13/2018,Monodnaviria,Euphorbia_leaf_curl_virus
Euphorbia mosaic Peru virus,NC_039082,complete,-,-,2600,5,-,land plants,12/01/2007,08/24/2018,Monodnaviria,Euphorbia_mosaic_Peru_virus
Euphorbia mosaic virus,NC_008305,complete,sub-species:Euphorbia mosaic virus - A [Mexico:Yucatan:2004],-,2602,2,10,land plants,08/25/2006,08/13/2018,Monodnaviria,Euphorbia_mosaic_virus
Euphorbia mosaic virus - A [Mexico:Yucatan:2004],NC_008304,complete,-,-,2613,4,12,land plants,08/25/2006,08/13/2018,Monodnaviria,Euphorbia_mosaic_virus_-_A_MexicoYucatan2004
Euphorbia yellow leaf curl virus,NC_038976,complete,isolate:PK1A,-,2731,6,1,land plants,08/24/2018,08/24/2018,Monodnaviria,Euphorbia_yellow_leaf_curl_virus
Exomis microphylla associated virus,NC_037065,complete,isolate:2-90-C1,-,2974,5,-,land plants,02/22/2018,08/13/2018,Monodnaviria,Exomis_microphylla_associated_virus
French bean leaf curl virus,NC_018090,complete,isolate:FbLCV-Kanpur,-,2741,7,-,land plants,06/28/2012,08/13/2018,Monodnaviria,French_bean_leaf_curl_virus
French bean severe leaf curl virus,NC_018453,complete,isolate:FbSLSV-1,-,2771,2,3,land plants,08/21/2012,08/13/2018,Monodnaviria,French_bean_severe_leaf_curl_virus
Grapevine geminivirus A,NC_031340,complete,isolate:Tamar,-,2905,6,34,land plants,10/13/2016,08/13/2018,Monodnaviria,Grapevine_geminivirus_A
Grapevine red blotch virus,NC_022002,complete,isolate:CF214-1,-,3206,6,139,land plants,08/07/2013,08/13/2018,Monodnaviria,Grapevine_red_blotch_virus
Hemidesmus yellow mosaic virus,NC_022073,complete,-,-,2825,7,1,land plants,08/14/2013,08/13/2018,Monodnaviria,Hemidesmus_yellow_mosaic_virus
Hollyhock leaf crumple virus,NC_004071,complete,isolate:Cairo,-,2755,6,-,land plants,01/08/2002,08/13/2018,Monodnaviria,Hollyhock_leaf_crumple_virus
Hollyhock leaf curl virus,NC_038884,complete,isolate:[Pakistan:20-4:06] Faisalabad3,-,2748,6,1,land plants,01/10/2012,08/24/2018,Monodnaviria,Hollyhock_leaf_curl_virus
Hollyhock yellow vein mosaic Islamabad virus,NC_027129,complete,isolate:3AK,-,2741,6,2,land plants,05/28/2015,08/13/2018,Monodnaviria,Hollyhock_yellow_vein_mosaic_Islamabad_virus
Hollyhock yellow vein mosaic virus,NC_016649,complete,isolate:[Pakistan:17-5:06] Lahore10,-,2750,6,2,land plants,01/10/2012,08/13/2018,Monodnaviria,Hollyhock_yellow_vein_mosaic_virus
Hollyhock yellow vein virus,NC_055499,complete,isolate:New Delhi,-,2738,6,1,land plants,06/01/2021,06/07/2021,Monodnaviria,Hollyhock_yellow_vein_virus
Honeysuckle yellow vein mosaic virus,NC_003609,complete,-,-,2757,6,3,land plants,08/01/2000,08/13/2018,Monodnaviria,Honeysuckle_yellow_vein_mosaic_virus
Honeysuckle yellow vein mosaic virus-[Japan:Miyazaki:2001],NC_055124,complete,isolate:Myz,-,2759,6,-,land plants,06/01/2021,06/07/2021,Monodnaviria,Honeysuckle_yellow_vein_mosaic_virus-JapanMiyazaki2001
Honeysuckle yellow vein virus,NC_005807,complete,strain:UK1,-,2784,6,5,land plants,02/05/2003,08/13/2018,Monodnaviria,Honeysuckle_yellow_vein_virus
Hypericum japonicum associated circular DNA virus,NC_038479,complete,isolate:VNHJ1W,-,2200,5,-,land plants,08/24/2018,08/24/2018,Monodnaviria,Hypericum_japonicum_associated_circular_DNA_virus
Ipomoea yellow vein virus,NC_013022,complete,isolate:ES:Mal:IG1:06,-,2791,6,2,land plants,07/27/2009,08/13/2018,Monodnaviria,Ipomoea_yellow_vein_virus
Jatropha leaf crumple virus,NC_025725,complete,isolate:SKJ1,-,2735,7,2,land plants,11/26/2014,08/13/2018,Monodnaviria,Jatropha_leaf_crumple_virus
Jatropha leaf curl Gujarat virus,NC_038962,complete,isolate:Gujarat,-,2758,6,-,land plants,08/24/2018,08/24/2018,Monodnaviria,Jatropha_leaf_curl_Gujarat_virus
Jatropha leaf curl virus,NC_011268,complete,isolate:New Delhi,-,2743,6,5,land plants,09/17/2008,08/13/2018,Monodnaviria,Jatropha_leaf_curl_virus
Jatropha leaf yellow mosaic Katarniaghat virus,NC_038956,complete,isolate:Katerniaghat 2,-,2744,6,1,land plants,08/24/2018,08/24/2018,Monodnaviria,Jatropha_leaf_yellow_mosaic_Katarniaghat_virus
Jatropha mosaic India virus-[Lucknow],NC_038449,complete,strain:SK-2; isolate:Lucknow,-,2740,6,-,land plants,08/24/2018,08/24/2018,Monodnaviria,Jatropha_mosaic_India_virus-Lucknow
Jatropha mosaic Nigeria virus,NC_019034,complete,isolate:2,-,2781,6,2,land plants,11/01/2012,08/14/2018,Monodnaviria,Jatropha_mosaic_Nigeria_virus
Jatropha yellow mosaic virus,NC_011309,complete,-,-,2757,6,-,land plants,09/30/2008,08/13/2018,Monodnaviria,Jatropha_yellow_mosaic_virus
Juncus maritimus associated virus,NC_037066,complete,isolate:13-FMN-1,-,2740,5,-,land plants,02/22/2018,08/13/2018,Monodnaviria,Juncus_maritimus_associated_virus
Kenaf leaf curl virus-[India:Bahraich:2007],NC_010435,complete,isolate:North India (Bahraich),-,2740,7,5,land plants,03/12/2008,08/13/2018,Monodnaviria,Kenaf_leaf_curl_virus-IndiaBahraich2007
Leonurus mosaic virus,NC_038450,complete,isolate:PR 88,-,2652,3,3,land plants,08/24/2018,08/24/2018,Monodnaviria,Leonurus_mosaic_virus
Limeum africanum associated virus,NC_037063,complete,isolate:2-12-F,-,2963,5,-,land plants,02/22/2018,08/13/2018,Monodnaviria,Limeum_africanum_associated_virus
Lindernia anagallis yellow vein virus,NC_009550,complete,-,-,2740,6,2,land plants,06/08/2007,08/13/2018,Monodnaviria,Lindernia_anagallis_yellow_vein_virus
Lisianthus enation leaf curl virus,NC_031466,complete,strain:Lis; isolate:BG-1,-,2759,6,2,land plants,10/19/2016,08/13/2018,Monodnaviria,Lisianthus_enation_leaf_curl_virus
Ludwigia yellow vein Vietnam virus,NC_038451,complete,-,-,2751,6,-,land plants,08/24/2018,06/04/2019,Monodnaviria,Ludwigia_yellow_vein_Vietnam_virus
Ludwigia yellow vein virus,NC_007210,complete,isolate:G37,-,2758,6,1,land plants,07/21/2005,08/13/2018,Monodnaviria,Ludwigia_yellow_vein_virus
Macroptilium bright mosaic virus,NC_031452,complete,isolate:ALM33_5B,-,2636,5,1,land plants,10/17/2016,08/13/2018,Monodnaviria,Macroptilium_bright_mosaic_virus
Macroptilium yellow spot virus,NC_016999,complete,isolate:BR:Agf1:10,-,2660,5,104,land plants,03/23/2012,08/13/2018,Monodnaviria,Macroptilium_yellow_spot_virus
Macroptilium yellow vein virus,NC_017000,complete,isolate:BR:Mac4:10,-,2656,5,18,land plants,03/23/2012,08/13/2018,Monodnaviria,Macroptilium_yellow_vein_virus
Maize streak Reunion virus,NC_017917,complete,isolate:MSRV-RE_StP_PR52_2009,-,2882,4,8,land plants,05/15/2012,08/13/2018,Monodnaviria,Maize_streak_Reunion_virus
Maize streak dwarfing virus,NC_055519,complete,isolate:MSDV-MV-1,-,2842,4,3,land plants,06/01/2021,06/07/2021,Monodnaviria,Maize_streak_dwarfing_virus
Maize streak virus - A[Ama],NC_001346,complete,strain:MSV-A; isolate:MSV-Ama,-,2689,4,950,land plants,07/06/1989,08/13/2018,Monodnaviria,Maize_streak_virus_-_AAma
Maize striate mosaic virus,NC_040541,complete,isolate:MSMV_BR_976_Pla_2016,-,2746,4,11,land plants,02/12/2019,09/12/2019,Monodnaviria,Maize_striate_mosaic_virus
Malachra yellow mosaic virus,NC_039003,complete,isolate:Barasat,-,2739,6,1,land plants,08/24/2018,08/24/2018,Monodnaviria,Malachra_yellow_mosaic_virus
Malvastrum leaf curl Guangdong virus,NC_008316,complete,isolate:GD6,-,2767,6,4,land plants,08/30/2006,08/13/2018,Monodnaviria,Malvastrum_leaf_curl_Guangdong_virus
Malvastrum leaf curl Philippines virus,NC_021245,complete,isolate:Mc1,-,2742,7,-,land plants,05/21/2013,08/13/2018,Monodnaviria,Malvastrum_leaf_curl_Philippines_virus
Malvastrum leaf curl virus,NC_007724,complete,isolate:G87,-,2745,6,3,land plants,01/16/2006,08/13/2018,Monodnaviria,Malvastrum_leaf_curl_virus
Malvastrum yellow mosaic Helshire virus,NC_038452,complete,isolate:Ma179A5,-,2609,5,-,land plants,08/24/2018,08/24/2018,Monodnaviria,Malvastrum_yellow_mosaic_Helshire_virus
Malvastrum yellow mosaic virus,NC_008559,complete,isolate:Hn36,-,2728,6,4,land plants,10/30/2006,08/13/2018,Monodnaviria,Malvastrum_yellow_mosaic_virus
Malvastrum yellow vein Baoshan virus,NC_012665,complete,isolate:Y278,-,2743,6,11,land plants,04/30/2009,08/13/2018,Monodnaviria,Malvastrum_yellow_vein_Baoshan_virus
Malvastrum yellow vein virus,NC_004634,complete,isolate:Y47,-,2731,6,6,land plants,04/25/2002,08/13/2018,Monodnaviria,Malvastrum_yellow_vein_virus
Malvastrum yellow vein Cambodia virus,NC_026763,complete,isolate:08,-,2737,6,-,land plants,04/04/2015,08/13/2018,Monodnaviria,Malvastrum_yellow_vein_Cambodia_virus
Malvastrum yellow vein Changa Manga virus,NC_014647,complete,-,-,2754,6,26,land plants,10/31/2010,08/13/2018,Monodnaviria,Malvastrum_yellow_vein_Changa_Manga_virus
Mesta yellow vein mosaic virus,NC_009088,complete,isolate:Barackpore,-,2728,6,26,land plants,03/07/2007,08/13/2018,Monodnaviria,Mesta_yellow_vein_mosaic_virus
Malvastrum yellow vein Honghe virus,NC_030749,complete,isolate:Y249,-,2740,6,1,land plants,09/24/2009,08/13/2018,Monodnaviria,Malvastrum_yellow_vein_Honghe_virus
Malvastrum yellow vein Lahore virus,NC_055476,complete,isolate:J47,-,2752,6,1,land plants,06/01/2021,06/07/2021,Monodnaviria,Malvastrum_yellow_vein_Lahore_virus
Malvastrum yellow vein Yunnan virus,NC_006631,complete,isolate:Y160,-,2747,6,10,land plants,01/08/2005,08/13/2018,Monodnaviria,Malvastrum_yellow_vein_Yunnan_virus
Melon yellow mosaic virus,NC_055525,complete,isolate:Me-MS-9,-,2736,5,-,land plants,06/01/2021,06/08/2021,Monodnaviria,Melon_yellow_mosaic_virus
Mesta yellow vein mosaic Bahraich virus,NC_010818,complete,strain:[India:Bahraich:2007],-,2737,7,2,land plants,06/06/2008,08/13/2018,Monodnaviria,Mesta_yellow_vein_mosaic_Bahraich_virus
Mimosa yellow leaf curl virus,NC_009546,complete,-,-,2757,6,-,land plants,06/08/2007,08/13/2018,Monodnaviria,Mimosa_yellow_leaf_curl_virus
Mirabilis leaf curl virus,NC_024491,complete,isolate:Pragpur,-,2778,6,-,land plants,07/17/2014,08/13/2018,Monodnaviria,Mirabilis_leaf_curl_virus
Miscanthus streak virus - [91],NC_003379,complete,-,-,2672,5,2,land plants,04/29/1993,08/13/2018,Monodnaviria,Miscanthus_streak_virus_-_91
Mulberry mosaic dwarf associated virus,NC_026771,complete,isolate:AK1-8,-,2952,5,7,land plants,04/04/2015,08/13/2018,Monodnaviria,Mulberry_mosaic_dwarf_associated_virus
Oat dwarf virus,NC_010799,complete,isolate:SxA25,-,2740,4,2,land plants,06/19/2007,08/13/2018,Monodnaviria,Oat_dwarf_virus
Okra enation leaf curl virus,NC_031754,complete,isolate:Trincomalee,-,2738,6,88,land plants,11/04/2016,08/13/2018,Monodnaviria,Okra_enation_leaf_curl_virus
Okra enation leaf curl virus [India:Munthal EL37:2006],NC_014894,complete,isolate:EL37,-,2724,6,88,land plants,01/07/2011,08/13/2018,Monodnaviria,Okra_enation_leaf_curl_virus_IndiaMunthal_EL372006
Okra leaf curl Cameroon virus,NC_014745,complete,isolate:pGRec17F,-,2764,6,3,land plants,12/01/2010,08/13/2018,Monodnaviria,Okra_leaf_curl_Cameroon_virus
Okra leaf curl India virus [India:Sonipat EL14A:2006],NC_014847,complete,isolate:EL14A,-,2723,6,-,land plants,01/07/2011,08/13/2018,Monodnaviria,Okra_leaf_curl_India_virus_IndiaSonipat_EL14A2006
Okra leaf curl Oman virus,NC_028985,complete,isolate:OK-2,-,2788,6,1,land plants,01/07/2013,08/13/2018,Monodnaviria,Okra_leaf_curl_Oman_virus
Okra leaf curl virus,NC_013017,complete,strain:Cameroon; isolate:LY11,-,2386,6,-,land plants,06/02/2009,08/13/2018,Monodnaviria,Okra_leaf_curl_virus
Okra yellow crinkle virus,NC_008377,complete,-,-,2792,6,8,land plants,09/27/2006,08/13/2018,Monodnaviria,Okra_yellow_crinkle_virus
Okra yellow vein mosaic virus,NC_004673,complete,strain:Pakistan; isolate:201,-,2739,6,-,land plants,03/31/1998,08/13/2018,Monodnaviria,Okra_yellow_vein_mosaic_virus
Opuntia virus 1,NC_055584,complete,isolate:DBG_14_1,-,2945,6,78,"invertebrates, land plants",06/01/2021,06/08/2021,Monodnaviria,Opuntia_virus_1
Oxalis yellow vein virus,NC_026253,complete,strain:USA:LA:01,-,2661,6,-,land plants,01/31/2015,08/13/2018,Monodnaviria,Oxalis_yellow_vein_virus
